"Error Description"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ERROR: The ClientFirstName length is invalid. The length should be between 1 and 30."|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ERROR: The ClientFirstName length is invalid. The length should be between 1 and 30.|ERROR: The ClientFirstName cannot be null."||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ERROR: The ClientMiddleInitial length is invalid. The length should be between 0 and 1."|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ERROR: The ClientLastName length is invalid. The length should be between 0 and 30."|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ERROR: The ClientLastName cannot be null."|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ERROR: The ClientSSN length is invalid. The length should be between 0 and 9.|'ERROR: The ClientSSN format is incorrect. The record should satisfy this regular expression [''(^\d{9}$)?'']. Invalid Value=''111222333681111222333681111222333681''."'||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'"ERROR: The ClientCustomID format is incorrect. The record should satisfy this regular expression [''^[A-Z]{1}[0-9]{8}$'']. Invalid Value=''A123456789''."'|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ERROR: The ClientCustomID length is invalid. The length should be between 1 and 24.|'ERROR: The ClientCustomID format is incorrect. The record should satisfy this regular expression [''^[A-Z]{1}[0-9]{8}$'']. Invalid Value=''''.'|ERROR: The ClientCustomID cannot be null"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'"ERROR: The ClientOtherID format is incorrect. The record should satisfy this regular expression [''^[A-Z]{1}[0-9]{8}$'']. Invalid Value=''A123456789''."'|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'"ERROR: The Action format is incorrect. The record should satisfy this regular expression [''A'|C|'D'']. Invalid Value=''E''."'|||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ERROR: The ClientAddressType length is invalid. The length should be between 1 and 12.|'ERROR: The ClientAddressType format is incorrect. The record should satisfy this regular expression [''Business'|Home|'Other'']. Invalid Value=''''.'|ERROR: The ClientAddressType cannot be null."|||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ERROR: The ClientAddressType length is invalid. The length should be between 1 and 12.|'ERROR: The ClientAddressType format is incorrect. The record should satisfy this regular expression [''Business'|Home|'Other'']. Invalid Value=''HomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHome''."'||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ERROR: The ClientAddressLine1 length is invalid. The length should be between 1 and 30."|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ERROR: The ClientAddressLine2 length is invalid. The length should be between 0 and 30."|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ERROR: The ClientCity length is invalid. The length should be between 1 and 30."|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ERROR: The ClientState length is invalid. The length should be between 2 and 2.|'ERROR: The ClientState format is incorrect. The record should satisfy this regular expression [''AL'|AK|AZ|AR|CA|CO|CT|DE|FL|GA|HI|ID|IL|IN|IA|KS|KY|LA|ME|MD|MA|MI|MN|MS|MO|MT|NE|NV|NH|NJ|NM|NY|NC|ND|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VT|VA|WA|WV|WI|WY|AS|DC|FM|GU|MH|MP|PW|PR|'VI'']. Invalid Value=''NYHomeHoHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomemeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHome Park Dr''."'
"ERROR: The ClientZip length is invalid. The length should be between 9 and 9.|'ERROR: The ClientZip format is incorrect. The record should satisfy this regular expression [''^\d{5}(\d{4}'|'0{4})$'']. Invalid Value=''110500000110500000110500000110500000110500000110500000110500000110500000''."'|||||||||||||||||||||||||||||||||||||||||||||||||||||||||
