"ClientID"|"ClientFirstName"|"ClientMiddleInitial"|"ClientLastName"|"ClientSSN"|"ClientCustomID"|"ClientOtherID"|"ClientSuffix"|"Action"|"ClientLanguage"|"ClientGender"|"ClientMaritalStatus"|"ClientBirthDate"|"ClientEmail"|"ClientTimeZone"|"ClientEnrollmentDate"|"SegmentName"|"ClientAddressType"|"ClientAddressLine1"|"ClientAddressLine2"|"ClientCounty"|"ClientCity"|"ClientState"|"ClientZip"|"ClientPhoneType"|"ClientPhone"|"ClientContactType"|"ClientContactFirstName"|"ClientContactLastName"|"ClientContactPhoneType"|"ClientContactPhone"|"ClientContactEmailAddress"|"ClientContactAddressLine1"|"ClientContactAddressLine2"|"ClientContactCity"|"ClientContactState"|"ClientContactZip"|"ClientDesigneeFirstName"|"ClientDesigneeLastName"|"ClientDesigneeEmail"|"ClientDesigneeStatus"|"ClientDesigneeStartDate"|"ClientDesigneeEndDate"|"PayerID"|"PayerProgram"|"PayerService"|"PayerRegion"|"ClientEligibilityDateBegin"|"ClientEligibilityDateEnd"|"ClientStartofCareDate"|"ClientEndofCareDate"|"ClientPrimaryDiagnosisCode"|"ClientSecondaryDiagnosisCode"|"ClientStatus"|"ClientStatusDate"|"Modifier1"|"Modifier2"|"Modifier3"|"Modifier4"|"Error Description"
""|"KMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTING"|"t"|"doe"|""|"0123456789"|"0123456789"|""|"A"|"English (US)"|"F"|"M"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 Harbor Park Dr"|""|"01 Oahu"|"Port washington"|"NY"|"110500000"|"Mobile"|"5555551234"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientFirstName length is invalid. The length should be between 1 and 30."
""|""|"t"|"doe"|""|"0123456789"|"0123456789"|""|"A"|"English (US)"|"F"|"M"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 Harbor Park Dr"|""|"01 Oahu"|"Port washington"|"NY"|"110500000"|"Mobile"|"5555551234"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientFirstName length is invalid. The length should be between 1 and 30.|ERROR: The ClientFirstName cannot be null."
""|"janeA"|"KMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTING"|"doe"|""|"0123456789"|"0123456789"|""|"A"|"English (US)"|"F"|"M"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 Harbor Park Dr"|""|"01 Oahu"|"Port washington"|"NY"|"110500000"|"Mobile"|"5555551234"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientMiddleInitial length is invalid. The length should be between 0 and 1."
""|"janeB"|""|"KMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTINGKMSHCMVIETNAM TESTING"|""|"0123456789"|"0123456789"|""|"A"|"English (US)"|"F"|"M"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 Harbor Park Dr"|""|"01 Oahu"|"Port washington"|"NY"|"110500000"|"Mobile"|"5555551234"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientLastName length is invalid. The length should be between 0 and 30."
""|"janeC"|"t"|""|""|"0123456789"|"0123456789"|""|"A"|"English (US)"|"F"|"M"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 Harbor Park Dr"|""|"01 Oahu"|"Port washington"|"NY"|"110500000"|"Mobile"|"5555551234"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientLastName cannot be null."
""|"janeD"|"t"|"doe"|"111222333681111222333681111222333681"|"0123456789"|"0123456789"|""|"A"|"English (US)"|"F"|"M"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 Harbor Park Dr"|""|"01 Oahu"|"Port washington"|"NY"|"110500000"|"Mobile"|"5555551234"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientSSN length is invalid. The length should be between 0 and 9.|ERROR: The ClientSSN format is incorrect. The record should satisfy this regular expression ['(^\d{9}$)?']. Invalid Value='111222333681111222333681111222333681'."
""|"janeE"|"t"|"doe"|""|"01234567891"|"0123456789"|""|"A"|"English (US)"|"F"|"M"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 Harbor Park Dr"|""|"01 Oahu"|"Port washington"|"NY"|"110500000"|"Mobile"|"5555551234"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientCustomID format is incorrect. The record should satisfy this regular expression ['^\d{10}$']. Invalid Value='01234567891'."
""|"janeR"|"t"|"doe"|""|""|"0123456789"|""|"A"|"English (US)"|"F"|"M"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 Harbor Park Dr"|""|"01 Oahu"|"Port washington"|"NY"|"110500000"|"Mobile"|"5555551234"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientCustomID length is invalid. The length should be between 1 and 24.|ERROR: The ClientCustomID format is incorrect. The record should satisfy this regular expression ['^\d{10}$']. Invalid Value=''.|ERROR: The ClientCustomID cannot be null"
""|"janeT"|"t"|"doe"|""|"0123456789"|"01234567891"|""|"A"|"English (US)"|"F"|"M"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 Harbor Park Dr"|""|"01 Oahu"|"Port washington"|"NY"|"110500000"|"Mobile"|"5555551234"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientOtherID format is incorrect. The record should satisfy this regular expression ['^\d{10}$']. Invalid Value='01234567891'."
""|"janeY"|"t"|"doe"|""|"0123456789"|"0123456789"|""|"E"|"English (US)"|"F"|"M"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 Harbor Park Dr"|""|"01 Oahu"|"Port washington"|"NY"|"110500000"|"Mobile"|"5555551234"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The Action format is incorrect. The record should satisfy this regular expression ['A|C|D']. Invalid Value='E'."
